,CHEMBL ID,AlogP,Smiles,Standard Value,Standard Units,pIC50,Active
0,CHEMBL3655343,4.19,CN(C)C/C=C/C(=O)N1Cc2sc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2C1,12.0,nM,15.935774094164366,1
1,CHEMBL3655351,5.62,CN(C/C=C/C(=O)N1CCc2c(sc3ncnc(Nc4cc(O)c(Cl)c(Cl)c4)c23)C1)C(C)(C)C,1.0,nM,18.420680743952367,1
5,CHEMBL939,4.28,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,33.0,nM,14.924173182485886,1
6,CHEMBL607707,5.1,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,79983.43,nM,7.1311059767496925,0
7,CHEMBL475594,7.13,CN(C)Cc1ccc(-c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)o1,2.0,nM,17.72753356339242,1
8,CHEMBL473428,6.56,OCc1ccc(-c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)o1,3.0,nM,17.322068455284256,1
9,CHEMBL473427,7.53,Fc1cccc(COc2ccc(Nc3ncnc4cc(-c5cccs5)sc34)cc2Cl)c1,8.0,nM,16.34123920227253,1
10,CHEMBL519757,8.36,Fc1cccc(COc2ccc(Nc3ncnc4sc(-c5ccc(CNCc6ccccc6)o5)cc34)cc2Cl)c1,54.0,nM,14.431696697388091,1
11,CHEMBL475767,6.86,CN(C)Cc1ccc(-c2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3s2)[nH]1,68.0,nM,14.20117303877626,1
12,CHEMBL480348,6.91,CCNCc1ccc(-c2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3s2)[nH]1,121.0,nM,13.624890198355624,1
13,CHEMBL3678949,5.44,CC(C)n1c(Nc2ccc(F)c(Cl)c2)nc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21,3.0,nM,17.322068455284256,1
14,CHEMBL3678951,5.67,CC(C)n1c(Nc2cccc(C(F)(F)F)c2)nc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21,1.0,nM,18.420680743952367,1
15,CHEMBL231526,4.83,COc1cc(OC)cc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(CCC(=O)O)c2C)c1,100000.0,nM,6.907755278982137,0
16,CHEMBL475600,6.8,Fc1cccc(COc2ccc(Nc3ncnc4sc(-c5ccc[nH]5)cc34)cc2Cl)c1,115.0,nM,13.675748615589116,1
17,CHEMBL3982014,3.92,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCN(C(=O)/C=C/CN2CCOCC2)CC1,303.6,nM,12.70496969843089,1
18,CHEMBL2029441,6.96,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc(OCc4ccccc4)cc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,2.42,nM,17.536913203783772,1
19,CHEMBL2029443,4.03,CCC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,1000.0,nM,11.512925464970229,1
20,CHEMBL2032376,3.81,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,1.21,nM,18.230060384343716,1
21,CHEMBL2029433,3.94,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4F)nc32)c1,1000.0,nM,11.512925464970229,1
22,CHEMBL2029438,5.38,C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,0.72,nM,18.7491848109244,1
23,CHEMBL2029440,7.18,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc(Oc4ccccc4)cc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,2.31,nM,17.583433219418662,1
24,CHEMBL2032380,4.2,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCCN(C)CC5)cc4OC)nc32)c1,5.17,nM,16.77780805543203,1
25,CHEMBL2029430,4.2,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OCC)nc32)c1,7.1,nM,16.460585959905096,1
26,CHEMBL2029431,4.59,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC(C)C)nc32)c1,36.3,nM,14.82886300268156,1
27,CHEMBL3899216,3.47,Cc1cc(NS(=O)(=O)c2ccc(Nc3nncc4ccccc34)cc2)no1,130.0,nM,13.553146293496782,1
28,CHEMBL1630113,8.24,Nc1ccccc1NC(=O)/C=C/c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,26.0,nM,15.162584205930884,1
29,CHEMBL3740577,4.58,C=CC(=O)Nc1cccc(Nc2nc(N/N=C/c3ccc(F)cc3)ncc2Cl)c1,860.0,nM,11.663748354704811,1
30,CHEMBL3740802,4.86,CN(C)C/C=C/C(=O)Nc1cccc(Nc2nc(N/N=C/c3c[nH]c4ccccc34)ncc2Cl)c1,20000.0,nM,8.517193191416238,1
31,CHEMBL3741324,4.16,C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1ccccn1,2380.0,nM,10.645824977286845,1
32,CHEMBL3742128,4.65,CN(C)C/C=C/C(=O)Nc1cccc(Nc2nc(N/N=C/c3ccc(F)cc3F)ncc2Cl)c1,5110.0,nM,9.881726060754616,1
33,CHEMBL3736121,3.7,CO[C@H]1CCN(c2nccc(Nc3cc4c(cn3)nc([C@@H](C)O)n4[C@H](C)C(F)(F)F)n2)C[C@H]1F,10000.0,nM,9.210340371976182,1
34,CHEMBL3739812,4.58,C=CC(=O)Nc1cccc(Nc2nc(N/N=C/c3ccccc3F)ncc2Cl)c1,4740.0,nM,9.956888329263244,1
35,CHEMBL3740802,4.86,CN(C)C/C=C/C(=O)Nc1cccc(Nc2nc(N/N=C/c3c[nH]c4ccccc34)ncc2Cl)c1,20000.0,nM,8.517193191416238,1
36,CHEMBL3699604,5,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(=O)OC)CC4)cc3OC)ncc2C(F)(F)F)c1,20.0,nM,15.424948470398375,1
37,CHEMBL3699583,3.44,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C(=O)CO)CC4)cc3OC)ncc2Cl)c1,5.5,nM,16.715932651713942,1
38,CHEMBL3663921,3.55,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c(C(N)=O)nc2CC)c1,1.3,nM,18.158316479484874,1
39,CHEMBL3663928,3.94,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(CC)CC4)cc3)c(C(N)=O)nc2CC)c1,1.4,nM,18.08420850733115,1
40,CHEMBL3663921,3.55,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c(C(N)=O)nc2CC)c1,2.2,nM,17.632223383588094,1
41,CHEMBL3663930,3.82,C=CC(=O)Nc1cccc(Oc2nc(Nc3cnn(C4CCN(C)CC4)c3)c(C(N)=O)nc2C(C)C)c1,2.0,nM,17.72753356339242,1
42,CHEMBL3647423,5.15,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/[C@H]1CCCN1C,8.0,nM,16.34123920227253,1
43,CHEMBL3647417,6.47,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/[C@@H]1CCCN1C,48.0,nM,14.549479733044475,1
